"Age";"Year";"fs1";"fs2";"fs3";"fs4";"Sex"
0;2019;NA;NA;NA;NA;"M"
1;2019;NA;NA;NA;NA;"M"
2;2019;NA;NA;NA;NA;"M"
3;2019;NA;NA;NA;NA;"M"
4;2019;NA;NA;NA;NA;"M"
5;2019;NA;NA;NA;NA;"M"
0;2020;NA;NA;NA;NA;"M"
1;2020;NA;NA;NA;NA;"M"
2;2020;NA;NA;NA;NA;"M"
3;2020;NA;NA;NA;NA;"M"
4;2020;NA;NA;NA;NA;"M"
5;2020;NA;NA;NA;NA;"M"
0;2021;NA;NA;NA;NA;"M"
1;2021;NA;NA;NA;NA;"M"
2;2021;NA;NA;NA;NA;"M"
3;2021;NA;NA;NA;NA;"M"
4;2021;NA;NA;NA;NA;"M"
5;2021;NA;NA;NA;NA;"M"
0;2022;NA;NA;NA;NA;"M"
1;2022;NA;NA;NA;NA;"M"
2;2022;NA;NA;NA;NA;"M"
3;2022;NA;NA;NA;NA;"M"
4;2022;NA;NA;NA;NA;"M"
5;2022;NA;NA;NA;NA;"M"
0;2023;NA;NA;NA;NA;"M"
1;2023;NA;NA;NA;NA;"M"
2;2023;NA;NA;NA;NA;"M"
3;2023;NA;NA;NA;NA;"M"
4;2023;NA;NA;NA;NA;"M"
5;2023;NA;NA;NA;NA;"M"
0;2024;NA;NA;NA;NA;"M"
1;2024;NA;NA;NA;NA;"M"
2;2024;NA;NA;NA;NA;"M"
3;2024;NA;NA;NA;NA;"M"
4;2024;NA;NA;NA;NA;"M"
5;2024;NA;NA;NA;NA;"M"
0;2025;NA;NA;NA;NA;"M"
1;2025;NA;NA;NA;NA;"M"
2;2025;NA;NA;NA;NA;"M"
3;2025;NA;NA;NA;NA;"M"
4;2025;NA;NA;NA;NA;"M"
5;2025;NA;NA;NA;NA;"M"
0;2026;NA;NA;NA;NA;"M"
1;2026;NA;NA;NA;NA;"M"
2;2026;NA;NA;NA;NA;"M"
3;2026;NA;NA;NA;NA;"M"
4;2026;NA;NA;NA;NA;"M"
5;2026;NA;NA;NA;NA;"M"
0;2027;NA;NA;NA;NA;"M"
1;2027;NA;NA;NA;NA;"M"
2;2027;NA;NA;NA;NA;"M"
3;2027;NA;NA;NA;NA;"M"
4;2027;NA;NA;NA;NA;"M"
5;2027;NA;NA;NA;NA;"M"
0;2028;NA;NA;NA;NA;"M"
1;2028;NA;NA;NA;NA;"M"
2;2028;NA;NA;NA;NA;"M"
3;2028;NA;NA;NA;NA;"M"
4;2028;NA;NA;NA;NA;"M"
5;2028;NA;NA;NA;NA;"M"
0;2029;NA;NA;NA;NA;"M"
1;2029;NA;NA;NA;NA;"M"
2;2029;NA;NA;NA;NA;"M"
3;2029;NA;NA;NA;NA;"M"
4;2029;NA;NA;NA;NA;"M"
5;2029;NA;NA;NA;NA;"M"
0;2030;NA;NA;NA;NA;"M"
1;2030;NA;NA;NA;NA;"M"
2;2030;NA;NA;NA;NA;"M"
3;2030;NA;NA;NA;NA;"M"
4;2030;NA;NA;NA;NA;"M"
5;2030;NA;NA;NA;NA;"M"
0;2019;NA;NA;NA;NA;"F"
1;2019;NA;NA;NA;NA;"F"
2;2019;NA;NA;NA;NA;"F"
3;2019;NA;NA;NA;NA;"F"
4;2019;NA;NA;NA;NA;"F"
5;2019;NA;NA;NA;NA;"F"
0;2020;NA;NA;NA;NA;"F"
1;2020;NA;NA;NA;NA;"F"
2;2020;NA;NA;NA;NA;"F"
3;2020;NA;NA;NA;NA;"F"
4;2020;NA;NA;NA;NA;"F"
5;2020;NA;NA;NA;NA;"F"
0;2021;NA;NA;NA;NA;"F"
1;2021;NA;NA;NA;NA;"F"
2;2021;NA;NA;NA;NA;"F"
3;2021;NA;NA;NA;NA;"F"
4;2021;NA;NA;NA;NA;"F"
5;2021;NA;NA;NA;NA;"F"
0;2022;NA;NA;NA;NA;"F"
1;2022;NA;NA;NA;NA;"F"
2;2022;NA;NA;NA;NA;"F"
3;2022;NA;NA;NA;NA;"F"
4;2022;NA;NA;NA;NA;"F"
5;2022;NA;NA;NA;NA;"F"
0;2023;NA;NA;NA;NA;"F"
1;2023;NA;NA;NA;NA;"F"
2;2023;NA;NA;NA;NA;"F"
3;2023;NA;NA;NA;NA;"F"
4;2023;NA;NA;NA;NA;"F"
5;2023;NA;NA;NA;NA;"F"
0;2024;NA;NA;NA;NA;"F"
1;2024;NA;NA;NA;NA;"F"
2;2024;NA;NA;NA;NA;"F"
3;2024;NA;NA;NA;NA;"F"
4;2024;NA;NA;NA;NA;"F"
5;2024;NA;NA;NA;NA;"F"
0;2025;NA;NA;NA;NA;"F"
1;2025;NA;NA;NA;NA;"F"
2;2025;NA;NA;NA;NA;"F"
3;2025;NA;NA;NA;NA;"F"
4;2025;NA;NA;NA;NA;"F"
5;2025;NA;NA;NA;NA;"F"
0;2026;NA;NA;NA;NA;"F"
1;2026;NA;NA;NA;NA;"F"
2;2026;NA;NA;NA;NA;"F"
3;2026;NA;NA;NA;NA;"F"
4;2026;NA;NA;NA;NA;"F"
5;2026;NA;NA;NA;NA;"F"
0;2027;NA;NA;NA;NA;"F"
1;2027;NA;NA;NA;NA;"F"
2;2027;NA;NA;NA;NA;"F"
3;2027;NA;NA;NA;NA;"F"
4;2027;NA;NA;NA;NA;"F"
5;2027;NA;NA;NA;NA;"F"
0;2028;NA;NA;NA;NA;"F"
1;2028;NA;NA;NA;NA;"F"
2;2028;NA;NA;NA;NA;"F"
3;2028;NA;NA;NA;NA;"F"
4;2028;NA;NA;NA;NA;"F"
5;2028;NA;NA;NA;NA;"F"
0;2029;NA;NA;NA;NA;"F"
1;2029;NA;NA;NA;NA;"F"
2;2029;NA;NA;NA;NA;"F"
3;2029;NA;NA;NA;NA;"F"
4;2029;NA;NA;NA;NA;"F"
5;2029;NA;NA;NA;NA;"F"
0;2030;NA;NA;NA;NA;"F"
1;2030;NA;NA;NA;NA;"F"
2;2030;NA;NA;NA;NA;"F"
3;2030;NA;NA;NA;NA;"F"
4;2030;NA;NA;NA;NA;"F"
5;2030;NA;NA;NA;NA;"F"
